Time (%),Total Time (ms),Instances,Avg (ms),Med (ms),Min (ms),Max (ms),StdDev (ms),GridXYZ,BlockXYZ,Name
23.7,7581.0858,26208,0.2893,0.2613,0.0984,1.0880,0.1237,   1    1    1,  32    1    1,"construct_columns_kernel(const vmesh::VelocityMesh *, unsigned int, unsigned int *, unsigned int *, ColumnOffsets *, unsigned int)"
6.4,2048.3749,50756,0.0404,0.0195,0.0150,1.1474,0.0421,   1    1    1,1024    1    1,"void split::tools::loop_compact<Hashinator::hash_pair<unsigned int, unsigned int>, spatial_cell::SpatialCell::adjust_velocity_blocks(const std::vector<spatial_cell::SpatialCell*, std::allocator<spatial_cell::SpatialCell*>> &, unsigned int, bool)::[lambda(const Hashinator::hash_pair<unsigned int, unsigned int> &) (instance 2)], (unsigned long)1024>(split::SplitVector<T1, split::split_unified_allocator<T1>> &, split::SplitVector<T1, split::split_unified_allocator<T1>> &, T2)"
5.5,1768.3824,52416,0.0337,0.0186,0.0136,0.6498,0.0308,   1    1    1,1024    1    1,"void split::tools::loop_compact<Hashinator::hash_pair<unsigned int, unsigned int>, gpu_acc_map_1d(spatial_cell::SpatialCell *, unsigned int, float, float, float, float, unsigned int, CUstream_st *)::[lambda(const Hashinator::hash_pair<unsigned int, unsigned int> &) (instance 1)], (unsigned long)1024>(split::SplitVector<T1, split::split_unified_allocator<T1>> &, split::SplitVector<T1, split::split_unified_allocator<T1>> &, T2)"
4.2,1347.1341,26208,0.0514,0.0419,0.0166,1.0183,0.0399,   1    1    1,   1    1    1,"count_columns_kernel(ColumnOffsets *, unsigned int *, split::SplitVector<unsigned int, split::split_unified_allocator<unsigned int>> *, split::SplitVector<Hashinator::hash_pair<unsigned int, unsigned int>, split::split_unified_allocator<Hashinator::hash_pair<unsigned int, unsigned int>>> *, split::SplitVector<Hashinator::hash_pair<unsigned int, unsigned int>, split::split_unified_allocator<Hashinator::hash_pair<unsigned int, unsigned int>>> *, split::SplitVector<Hashinator::hash_pair<unsigned int, unsigned int>, split::split_unified_allocator<Hashinator::hash_pair<unsigned int, unsigned int>>> *)"
3.4,1102.2590,26208,0.0421,0.0330,0.0127,0.6587,0.0311,   1    1    1,   1    1    1,"offsets_into_columns_kernel(ColumnOffsets *, Column *, unsigned int)"
2.8,887.3279,25378,0.0350,0.0181,0.0140,0.8300,0.0397,   1    1    1,1024    1    1,"void split::tools::loop_compact_keys<Hashinator::hash_pair<unsigned int, unsigned int>, unsigned int, spatial_cell::SpatialCell::adjust_velocity_blocks(const std::vector<spatial_cell::SpatialCell*, std::allocator<spatial_cell::SpatialCell*>> &, unsigned int, bool)::[lambda(const Hashinator::hash_pair<unsigned int, unsigned int> &) (instance 1)], (unsigned long)1024>(split::SplitVector<T1, split::split_unified_allocator<T1>> &, split::SplitVector<T2, split::split_unified_allocator<T2>> &, T3)"
2.7,871.1587,25378,0.0343,0.0173,0.0136,0.9865,0.0386,   1    1    1,1024    1    1,"void split::tools::loop_compact<Hashinator::hash_pair<unsigned int, unsigned int>, spatial_cell::SpatialCell::adjust_velocity_blocks(const std::vector<spatial_cell::SpatialCell*, std::allocator<spatial_cell::SpatialCell*>> &, unsigned int, bool)::[lambda(const Hashinator::hash_pair<unsigned int, unsigned int> &) (instance 3)], (unsigned long)1024>(split::SplitVector<T1, split::split_unified_allocator<T1>> &, split::SplitVector<T1, split::split_unified_allocator<T1>> &, T2)"
2.6,846.3776,103201,0.0082,0.0023,0.0016,0.3444,0.0170,   8    1    1,1024    1    1,"void Hashinator::Hashers::reset_all_to_empty<unsigned int, unsigned int, (unsigned int)4294967295>(Hashinator::hash_pair<T1, T2> *, Hashinator::Info *, unsigned long)"
2.4,769.8366,4544,0.1694,0.1512,0.0650,0.6974,0.0778,  52    1    1,  16    1    1,"acceleration_kernel(const vmesh::VelocityMesh *, vmesh::VelocityBlockContainer *, VecSimple<float> *, unsigned int *, unsigned int *, Column *, unsigned int, float, float, float, float, float, float, float, float, unsigned long)"
2.4,753.5688,26208,0.0288,0.0162,0.0137,0.5503,0.0269,   1    1    1,1024    1    1,"void split::tools::loop_compact<Hashinator::hash_pair<unsigned int, unsigned int>, gpu_acc_map_1d(spatial_cell::SpatialCell *, unsigned int, float, float, float, float, unsigned int, CUstream_st *)::[lambda(const Hashinator::hash_pair<unsigned int, unsigned int> &) (instance 2)], (unsigned long)1024>(split::SplitVector<T1, split::split_unified_allocator<T1>> &, split::SplitVector<T1, split::split_unified_allocator<T1>> &, T2)"
2.3,729.9312,26208,0.0279,0.0146,0.0133,0.4204,0.0249,   1    1    1, 256    1    1,"void cub::DeviceRadixSortSingleTileKernel<cub::DeviceRadixSortPolicy<unsigned int, unsigned int, unsigned int>::Policy800, (bool)0, unsigned int, unsigned int, unsigned int>(const T3 *, T3 *, const T4 *, T4 *, T5, int, int)"
2.2,717.8372,4224,0.1699,0.1536,0.0625,0.6479,0.0730,  36    1    1,  16    1    1,"acceleration_kernel(const vmesh::VelocityMesh *, vmesh::VelocityBlockContainer *, VecSimple<float> *, unsigned int *, unsigned int *, Column *, unsigned int, float, float, float, float, float, float, float, float, unsigned long)"
2.1,684.2159,51586,0.0133,0.0048,0.0016,0.9673,0.0263,   1    1    1,   1    1    1,"resize_vbc_kernel_pre(vmesh::VelocityMesh *, vmesh::VelocityBlockContainer *, split::SplitVector<unsigned int, split::split_unified_allocator<unsigned int>> *, split::SplitVector<Hashinator::hash_pair<unsigned int, unsigned int>, split::split_unified_allocator<Hashinator::hash_pair<unsigned int, unsigned int>>> *, split::SplitVector<Hashinator::hash_pair<unsigned int, unsigned int>, split::split_unified_allocator<Hashinator::hash_pair<unsigned int, unsigned int>>> *, split::SplitVector<Hashinator::hash_pair<unsigned int, unsigned int>, split::split_unified_allocator<Hashinator::hash_pair<unsigned int, unsigned int>>> *, unsigned int *, float *)"
2.1,668.3048,22435,0.0298,0.0098,0.0075,0.9827,0.0435,  64    1    1, 832    1    1,"update_velocity_halo_kernel(vmesh::VelocityMesh *, unsigned int, unsigned int *, Hashinator::Hashmap<unsigned int, unsigned int, (unsigned int)4294967295, (unsigned int)4294967294, Hashinator::HashFunctions::Fibonacci<unsigned int>, Hashinator::Hashers::Hasher<unsigned int, unsigned int, Hashinator::HashFunctions::Fibonacci<unsigned int>, (unsigned int)4294967295, (unsigned int)4294967294, (int)32, (int)1>, split::split_unified_allocator<Hashinator::Info>> *, Hashinator::Hashmap<unsigned int, unsigned int, (unsigned int)4294967295, (unsigned int)4294967294, Hashinator::HashFunctions::Fibonacci<unsigned int>, Hashinator::Hashers::Hasher<unsigned int, unsigned int, Hashinator::HashFunctions::Fibonacci<unsigned int>, (unsigned int)4294967295, (unsigned int)4294967294, (int)32, (int)1>, split::split_unified_allocator<Hashinator::Info>> *)"
1.8,589.9091,25378,0.0232,0.0200,0.0175,0.2331,0.0137,   1    1    1,1024    1    1,"void split::tools::loop_compact_keys<Hashinator::hash_pair<unsigned int, unsigned int>, unsigned int, Hashinator::Hashmap<unsigned int, unsigned int, (unsigned int)4294967295, (unsigned int)4294967294, Hashinator::HashFunctions::Fibonacci<unsigned int>, Hashinator::Hashers::Hasher<unsigned int, unsigned int, Hashinator::HashFunctions::Fibonacci<unsigned int>, (unsigned int)4294967295, (unsigned int)4294967294, (int)32, (int)1>, split::split_unified_allocator<Hashinator::Info>>::extractAllKeysLoop(split::SplitVector<unsigned int, split::split_unified_allocator<unsigned int>> &, CUstream_st *)::[lambda(const Hashinator::hash_pair<unsigned int, unsigned int> &) (instance 1)], (unsigned long)1024>(split::SplitVector<T1, split::split_unified_allocator<T1>> &, split::SplitVector<T2, split::split_unified_allocator<T2>> &, T3)"
1.5,488.6154,10394,0.0470,0.0063,0.0034,1.1401,0.0781,   1    1    1,   1    1    1,"resize_vbc_kernel_post(vmesh::VelocityMesh *, vmesh::VelocityBlockContainer *, unsigned int)"
1.5,473.8281,2016,0.2350,0.2182,0.0897,0.7222,0.0841,  44    1    1,  16    1    1,"acceleration_kernel(const vmesh::VelocityMesh *, vmesh::VelocityBlockContainer *, VecSimple<float> *, unsigned int *, unsigned int *, Column *, unsigned int, float, float, float, float, float, float, float, float, unsigned long)"
