Time (%),Total Time (ms),Instances,Avg (ms),Med (ms),Min (ms),Max (ms),StdDev (ms),GridXYZ,BlockXYZ,Name
23.9,46052.0024,185760,0.2479,0.2228,0.0986,12.6706,0.1209,   1    1    1,  32    1    1,"construct_columns_kernel(const vmesh::VelocityMesh *, unsigned int, unsigned int *, unsigned int *, ColumnOffsets *, unsigned int)"
6.5,12508.7474,371520,0.0337,0.0187,0.0136,12.5043,0.0351,   1    1    1,1024    1    1,"void split::tools::loop_compact<Hashinator::hash_pair<unsigned int, unsigned int>, gpu_acc_map_1d(spatial_cell::SpatialCell *, unsigned int, float, float, float, float, unsigned int, CUstream_st *)::[lambda(const Hashinator::hash_pair<unsigned int, unsigned int> &) (instance 1)], (unsigned long)1024>(split::SplitVector<T1, split::split_unified_allocator<T1>> &, split::SplitVector<T1, split::split_unified_allocator<T1>> &, T2)"
4.6,8912.8090,237124,0.0376,0.0202,0.0149,1.9709,0.0352,   1    1    1,1024    1    1,"void split::tools::loop_compact<Hashinator::hash_pair<unsigned int, unsigned int>, spatial_cell::SpatialCell::adjust_velocity_blocks(const std::vector<spatial_cell::SpatialCell*, std::allocator<spatial_cell::SpatialCell*>> &, unsigned int, bool)::[lambda(const Hashinator::hash_pair<unsigned int, unsigned int> &) (instance 2)], (unsigned long)1024>(split::SplitVector<T1, split::split_unified_allocator<T1>> &, split::SplitVector<T1, split::split_unified_allocator<T1>> &, T2)"
4.5,8755.1466,50304,0.1740,0.1608,0.0616,0.8330,0.0638,  36    1    1,  16    1    1,"acceleration_kernel(const vmesh::VelocityMesh *, vmesh::VelocityBlockContainer *, VecSimple<float> *, unsigned int *, unsigned int *, Column *, unsigned int, float, float, float, float, float, float, float, float, unsigned long)"
4.5,8617.1569,185760,0.0464,0.0345,0.0162,3.5944,0.0339,   1    1    1,   1    1    1,"count_columns_kernel(ColumnOffsets *, unsigned int *, split::SplitVector<unsigned int, split::split_unified_allocator<unsigned int>> *, split::SplitVector<Hashinator::hash_pair<unsigned int, unsigned int>, split::split_unified_allocator<Hashinator::hash_pair<unsigned int, unsigned int>>> *, split::SplitVector<Hashinator::hash_pair<unsigned int, unsigned int>, split::split_unified_allocator<Hashinator::hash_pair<unsigned int, unsigned int>>> *, split::SplitVector<Hashinator::hash_pair<unsigned int, unsigned int>, split::split_unified_allocator<Hashinator::hash_pair<unsigned int, unsigned int>>> *)"
3.9,7425.5301,44308,0.1676,0.1547,0.0620,0.6690,0.0656,  52    1    1,  16    1    1,"acceleration_kernel(const vmesh::VelocityMesh *, vmesh::VelocityBlockContainer *, VecSimple<float> *, unsigned int *, unsigned int *, Column *, unsigned int, float, float, float, float, float, float, float, float, unsigned long)"
3.7,7183.5683,185760,0.0387,0.0270,0.0126,0.6591,0.0285,   1    1    1,   1    1    1,"offsets_into_columns_kernel(ColumnOffsets *, Column *, unsigned int)"
2.9,5612.6060,608673,0.0092,0.0024,0.0015,0.6219,0.0178,   8    1    1,1024    1    1,"void Hashinator::Hashers::reset_all_to_empty<unsigned int, unsigned int, (unsigned int)4294967295>(Hashinator::hash_pair<T1, T2> *, Hashinator::Info *, unsigned long)"
2.8,5329.2430,185760,0.0287,0.0162,0.0136,3.5985,0.0282,   1    1    1,1024    1    1,"void split::tools::loop_compact<Hashinator::hash_pair<unsigned int, unsigned int>, gpu_acc_map_1d(spatial_cell::SpatialCell *, unsigned int, float, float, float, float, unsigned int, CUstream_st *)::[lambda(const Hashinator::hash_pair<unsigned int, unsigned int> &) (instance 2)], (unsigned long)1024>(split::SplitVector<T1, split::split_unified_allocator<T1>> &, split::SplitVector<T1, split::split_unified_allocator<T1>> &, T2)"
2.7,5268.2727,185760,0.0284,0.0146,0.0133,0.6046,0.0248,   1    1    1, 256    1    1,"void cub::DeviceRadixSortSingleTileKernel<cub::DeviceRadixSortPolicy<unsigned int, unsigned int, unsigned int>::Policy800, (bool)0, unsigned int, unsigned int, unsigned int>(const T3 *, T3 *, const T4 *, T4 *, T5, int, int)"
