Time (%),Total Time (ms),Instances,Avg (ms),Med (ms),Min (ms),Max (ms),StdDev (ms),GridXYZ,BlockXYZ,Name
23.0,118385.6456,386568,0.3062,0.2761,0.0985,1.2392,0.1331,   1    1    1,  32    1    1,"construct_columns_kernel(const vmesh::VelocityMesh *, unsigned int, unsigned int *, unsigned int *, ColumnOffsets *, unsigned int)"
9.5,49011.8468,53504,0.9160,0.8738,0.6003,2.9976,0.1721,   1    1    1,   4    4    4,"spatial_cell::population_increment_kernel(unsigned int, vmesh::VelocityMesh *, vmesh::VelocityBlockContainer *, vmesh::VelocityMesh *, vmesh::VelocityBlockContainer *, double)"
5.5,28150.6176,694916,0.0405,0.0194,0.0149,11.5497,0.0507,   1    1    1,1024    1    1,"void split::tools::loop_compact<Hashinator::hash_pair<unsigned int, unsigned int>, spatial_cell::SpatialCell::adjust_velocity_blocks(const std::vector<spatial_cell::SpatialCell*, std::allocator<spatial_cell::SpatialCell*>> &, unsigned int, bool)::[lambda(const Hashinator::hash_pair<unsigned int, unsigned int> &) (instance 2)], (unsigned long)1024>(split::SplitVector<T1, split::split_unified_allocator<T1>> &, split::SplitVector<T1, split::split_unified_allocator<T1>> &, T2)"
5.2,26914.0028,773136,0.0348,0.0189,0.0135,0.6957,0.0305,   1    1    1,1024    1    1,"void split::tools::loop_compact<Hashinator::hash_pair<unsigned int, unsigned int>, gpu_acc_map_1d(spatial_cell::SpatialCell *, unsigned int, float, float, float, float, unsigned int, CUstream_st *)::[lambda(const Hashinator::hash_pair<unsigned int, unsigned int> &) (instance 1)], (unsigned long)1024>(split::SplitVector<T1, split::split_unified_allocator<T1>> &, split::SplitVector<T1, split::split_unified_allocator<T1>> &, T2)"
3.9,20309.7095,386568,0.0525,0.0433,0.0162,0.9871,0.0355,   1    1    1,   1    1    1,"count_columns_kernel(ColumnOffsets *, unsigned int *, split::SplitVector<unsigned int, split::split_unified_allocator<unsigned int>> *, split::SplitVector<Hashinator::hash_pair<unsigned int, unsigned int>, split::split_unified_allocator<Hashinator::hash_pair<unsigned int, unsigned int>>> *, split::SplitVector<Hashinator::hash_pair<unsigned int, unsigned int>, split::split_unified_allocator<Hashinator::hash_pair<unsigned int, unsigned int>>> *, split::SplitVector<Hashinator::hash_pair<unsigned int, unsigned int>, split::split_unified_allocator<Hashinator::hash_pair<unsigned int, unsigned int>>> *)"
3.3,16850.5490,386568,0.0436,0.0343,0.0126,0.6010,0.0318,   1    1    1,   1    1    1,"offsets_into_columns_kernel(ColumnOffsets *, Column *, unsigned int)"
2.4,12551.7135,347458,0.0361,0.0182,0.0140,4.0239,0.0410,   1    1    1,1024    1    1,"void split::tools::loop_compact_keys<Hashinator::hash_pair<unsigned int, unsigned int>, unsigned int, spatial_cell::SpatialCell::adjust_velocity_blocks(const std::vector<spatial_cell::SpatialCell*, std::allocator<spatial_cell::SpatialCell*>> &, unsigned int, bool)::[lambda(const Hashinator::hash_pair<unsigned int, unsigned int> &) (instance 1)], (unsigned long)1024>(split::SplitVector<T1, split::split_unified_allocator<T1>> &, split::SplitVector<T2, split::split_unified_allocator<T2>> &, T3)"
2.3,12089.2708,347458,0.0348,0.0173,0.0135,11.5611,0.0568,   1    1    1,1024    1    1,"void split::tools::loop_compact<Hashinator::hash_pair<unsigned int, unsigned int>, spatial_cell::SpatialCell::adjust_velocity_blocks(const std::vector<spatial_cell::SpatialCell*, std::allocator<spatial_cell::SpatialCell*>> &, unsigned int, bool)::[lambda(const Hashinator::hash_pair<unsigned int, unsigned int> &) (instance 3)], (unsigned long)1024>(split::SplitVector<T1, split::split_unified_allocator<T1>> &, split::SplitVector<T1, split::split_unified_allocator<T1>> &, T2)"
2.3,11694.9676,68788,0.1700,0.1522,0.0644,1.0264,0.0773,  52    1    1,  16    1    1,"acceleration_kernel(const vmesh::VelocityMesh *, vmesh::VelocityBlockContainer *, VecSimple<float> *, unsigned int *, unsigned int *, Column *, unsigned int, float, float, float, float, float, float, float, float, unsigned long)"
2.3,11593.7837,1468492,0.0079,0.0023,0.0014,0.3943,0.0163,   8    1    1,1024    1    1,"void Hashinator::Hashers::reset_all_to_empty<unsigned int, unsigned int, (unsigned int)4294967295>(Hashinator::hash_pair<T1, T2> *, Hashinator::Info *, unsigned long)"
2.2,11558.2126,386568,0.0299,0.0164,0.0136,0.4190,0.0274,   1    1    1,1024    1    1,"void split::tools::loop_compact<Hashinator::hash_pair<unsigned int, unsigned int>, gpu_acc_map_1d(spatial_cell::SpatialCell *, unsigned int, float, float, float, float, unsigned int, CUstream_st *)::[lambda(const Hashinator::hash_pair<unsigned int, unsigned int> &) (instance 2)], (unsigned long)1024>(split::SplitVector<T1, split::split_unified_allocator<T1>> &, split::SplitVector<T1, split::split_unified_allocator<T1>> &, T2)"
2.2,11225.7982,386568,0.0290,0.0147,0.0133,0.3673,0.0257,   1    1    1, 256    1    1,"void cub::DeviceRadixSortSingleTileKernel<cub::DeviceRadixSortPolicy<unsigned int, unsigned int, unsigned int>::Policy800, (bool)0, unsigned int, unsigned int, unsigned int>(const T3 *, T3 *, const T4 *, T4 *, T5, int, int)"
2.2,11129.0838,62304,0.1786,0.1609,0.0643,0.9968,0.0749,  36    1    1,  16    1    1,"acceleration_kernel(const vmesh::VelocityMesh *, vmesh::VelocityBlockContainer *, VecSimple<float> *, unsigned int *, unsigned int *, Column *, unsigned int, float, float, float, float, float, float, float, float, unsigned long)"
2.1,10614.8178,734026,0.0145,0.0050,0.0015,5.5944,0.0300,   1    1    1,   1    1    1,"resize_vbc_kernel_pre(vmesh::VelocityMesh *, vmesh::VelocityBlockContainer *, split::SplitVector<unsigned int, split::split_unified_allocator<unsigned int>> *, split::SplitVector<Hashinator::hash_pair<unsigned int, unsigned int>, split::split_unified_allocator<Hashinator::hash_pair<unsigned int, unsigned int>>> *, split::SplitVector<Hashinator::hash_pair<unsigned int, unsigned int>, split::split_unified_allocator<Hashinator::hash_pair<unsigned int, unsigned int>>> *, split::SplitVector<Hashinator::hash_pair<unsigned int, unsigned int>, split::split_unified_allocator<Hashinator::hash_pair<unsigned int, unsigned int>>> *, unsigned int *, float *)"
